DAY.STR,DAWN.STR,NIGHT.STR,RAIN.STR
18800,18800,18800,18800
14599,14599,14599,14599
18800,18800,18800,18800
14599,14599,14599,14599
18800,18800,18800,18800
14599,14599,14599,14599
18800,18800,18800,18800
15399,15399,15399,15399
18800,18800,18800,18800
16599,16599,16599,16599
18800,18800,18800,18800
15310,15310,15310,15310
15311,15311,15311,15311
18799,18799,18799,18799
16800,16800,16800,16800
18799,18799,18799,18799
16400,16400,16400,16400
18799,18799,18799,18799
9400,9400,9400,9400
17199,17199,17199,17199
15600,15600,15600,15600
18799,18799,18799,18799
14000,14000,14000,14000
18899,18899,18899,18899
9100,9100,9100,9100
24574,24574,24574,24574
15000,15000,15000,15000
18837,18837,18837,18837
18713,18713,18713,18713
14081,14081,14081,14081
13120,13120,13120,13120
14099,14099,14099,14099
18800,18800,18800,18800
14599,14599,14599,14599
18800,18800,18800,18800
18799,18799,18799,18799
18800,18800,18800,18800
12399,12399,12399,12399
18800,18800,18800,18800
16999,16999,16999,16999
16400,16400,16400,16400
17199,17199,17199,17199
15600,15600,15600,15600
18799,18799,18799,18799
18800,18800,18800,18800
18799,18799,18799,18799
18800,18800,18800,18800
12399,12399,12399,12399
18800,18800,18800,18800
10399,10399,10399,10399
20400,20400,20400,20400
18799,18799,18799,18799
18800,18800,18800,18800
18908,18908,18908,18908
14000,14000,14000,14000
25361,25361,25361,25361
20015,20015,20015,20015
19355,19355,19355,19355
20354,20354,20354,20354
18799,18799,18799,18799
15771,15771,15771,15771
20415,20415,20415,20415
14500,14500,14500,14500
18799,18799,18799,18799
10100,10100,10100,10100
17119,17119,17119,17119
12417,12417,12417,12417
17119,17119,17119,17119
18816,18816,18816,18816
18799,18799,18799,18799
12600,12600,12600,12600
20199,20199,20199,20199
12600,12600,12600,12600
19599,19599,19599,19599
8400,8400,8400,8400
13100,13100,13100,13100
12799,12799,12799,12799
13100,13100,13100,13100
14201,14201,14201,14201
21123,21123,21123,21123
18303,18303,18303,18303
18799,18799,18799,18799
20852,20852,20852,20852
16175,16175,16175,16175
18811,18811,18811,18811
16576,16576,16576,16576
20657,20657,20657,20657
11399,11399,11399,11399
11000,11000,11000,11000
14699,14699,14699,14699
18802,18802,18802,18802
12799,12799,12799,12799
15603,15603,15603,15603
18810,18810,18810,18810
13011,13011,13011,13011
19959,19959,19959,19959
18800,18800,18800,18800
